handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2
product_927ebd49-1dd8-3d8a-b70d-18a45db57a6f,Product,Leaping Dolphin,,cf69e4_91f1a3b1a76b48ecb8f37de8f74cabfc~mv2.jpg,Marine Collection;Pendants,,Marine Collection,89.0,,true,PERCENT,0.0,InStock,0.0,Material,DROP_DOWN,14k White Gold;14k Yellow Gold;Sterling Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_927ebd49-1dd8-3d8a-b70d-18a45db57a6f,Variant,,,,,,,,100.0,true,,,InStock,,,,14k White Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_927ebd49-1dd8-3d8a-b70d-18a45db57a6f,Variant,,,,,,,,100.0,true,,,InStock,,,,14k Yellow Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_927ebd49-1dd8-3d8a-b70d-18a45db57a6f,Variant,,,,,,,,0.0,true,,,InStock,,,,Sterling Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_e00ad929-2ece-88b0-096a-2d0f44a643e1,Product,Big Blue Crab,<p>This bad boy has a good hold on&nbsp;&nbsp;a .05 point diamond. Evoking many fun times out on the water and at the dinner table. In 14k Yellow or&nbsp;White Gold. Also available in&nbsp;Sterling Silver with a real or simulated aquamarine instead of a diamond.</p>,cf69e4_0cfc48741b4c43b59cc26365f3bb0194~mv2.jpg;cf69e4_3090f71bb9a144e49ce7013e5cc03c7b~mv2.jpg,Marine Collection;Pendants,,Marine Collection,739.0,,true,PERCENT,0.0,InStock,0.0,Material,DROP_DOWN,14k Yellow Gold w/Diamond;14k White Gold w/Diamond;Sterling Silver w/Aquamarine;Sterling Silver w/simulated Aquamarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_e00ad929-2ece-88b0-096a-2d0f44a643e1,Variant,,,,,00102,,,-474.0,true,,,InStock,,,,Sterling Silver w/Aquamarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_e00ad929-2ece-88b0-096a-2d0f44a643e1,Variant,,,,,00103,,,-574.0,true,,,InStock,,,,Sterling Silver w/simulated Aquamarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_e00ad929-2ece-88b0-096a-2d0f44a643e1,Variant,,,,,0010,,,0.0,true,,,InStock,,,,14k Yellow Gold w/Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_e00ad929-2ece-88b0-096a-2d0f44a643e1,Variant,,,,,00101,,,0.0,true,,,InStock,,,,14k White Gold w/Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d4e97b66-9b2d-112c-4737-1f8b598e8f95,Product,Double Dutch Hearts Ring,"<p>Skip your way through the day with this sweet and modern take on two hearts coming together. This makes a wonderful friendship ring. In&nbsp;14K Yellow, Also Available in Sterling Silver.</p>",cf69e4_13e9d1028f0b4ddabbe5150240003687~mv2.jpg;cf69e4_85e1d9c2adce421fbedf130a8d4b2db4~mv2.jpg;cf69e4_791aacb319d64f2d9e1db074fc66c6e0~mv2.jpg,Rings,,,469.0,,true,PERCENT,0.0,InStock,0.0,Material,DROP_DOWN,14k Yellow Gold;Sterling Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d4e97b66-9b2d-112c-4737-1f8b598e8f95,Variant,,,,,00112,,,-334.0,true,,,InStock,,,,Sterling Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d4e97b66-9b2d-112c-4737-1f8b598e8f95,Variant,,,,,0011,,,0.0,true,,,InStock,,,,14k Yellow Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
